scene,method,dimensions,repeat,contributing_rows,valid_rows,positive_similarity,positive_similarity_std,positive_similarity_count,negative_similarity,negative_similarity_std,negative_similarity_count,similarity_gap,similarity_gap_std,similarity_gap_count,retrieval_voxel_hit,retrieval_voxel_hit_std,retrieval_voxel_hit_count,retrieval_hit_distance,retrieval_hit_distance_std,retrieval_hit_distance_count,retrieval_world_error_mean,retrieval_world_error_mean_std,retrieval_world_error_mean_count,retrieval_world_error_median,retrieval_world_error_median_std,retrieval_world_error_median_count,status
scene0707_00,fixed_mask,256,0,31,31,0.7770663442150239,0.05299666133144572,31,0.47651702812551355,0.054046196402209035,31,0.3005493160895104,0.06628017554485244,31,0.48090278206149956,0.15013948917259162,31,0.6826426985482265,0.15162498276377911,31,0.1293189743038869,0.061745738585263894,31,0.07313806515547537,0.026463831971217978,31,ok
scene0707_00,original,1536,0,31,31,0.9749662703083407,0.007251047620462143,31,0.9420962895530969,0.008585593449666752,31,0.03286998075524381,0.009135407461608151,31,0.38957034775619986,0.12856505172869648,31,0.5873621275821705,0.14586905707327089,31,0.16849439131753824,0.07877254349833734,31,0.09205642438703968,0.04376058412363084,31,ok
scene0708_00,fixed_mask,256,0,31,31,0.7612083554267883,0.07120449171146115,31,0.49683360127285675,0.053119999982115036,31,0.26437475415393163,0.06239375526682664,31,0.49786170701231364,0.1789569637784179,31,0.5615128395601741,0.173711167269844,31,0.24295597436875566,0.1777112374914371,31,0.12566370781390898,0.15455249308911928,31,ok
scene0708_00,original,1536,0,31,31,0.9711944806960321,0.010186446316122309,31,0.9427711645919093,0.010552617849443289,31,0.0284233161041228,0.008513962319835745,31,0.3762558591446687,0.17052260722722745,31,0.43760550228729833,0.1772267814904418,31,0.3328891830713325,0.20967380214271167,31,0.2148687809465393,0.18501221610046706,31,ok
scene0709_00,fixed_mask,256,0,31,31,0.7557849884033203,0.04728711468769301,31,0.46010047188740655,0.08966306252377239,31,0.2956845165159137,0.07552341526714504,31,0.3854448192621198,0.14484864818253415,31,0.5331982128676059,0.18780703776847607,31,0.20770835878822252,0.10693481547892185,31,0.11712781015423036,0.08803396109797801,31,ok
scene0709_00,original,1536,0,31,31,0.9685934109072531,0.007466021055568241,31,0.934346460646908,0.010000901069044499,31,0.034246950260345285,0.010018836847853789,31,0.3098860033720641,0.12717008799417176,31,0.43903920537995994,0.1764849521037855,31,0.2559522274767908,0.12529590599763132,31,0.161704872885058,0.1069723634239676,31,ok
scene0710_00,fixed_mask,256,0,31,31,0.6965959591250266,0.07160086315718615,31,0.4354962874644657,0.06664809674578585,30,0.2674510291026373,0.08180120220864703,30,0.2930649524631604,0.1696302546744038,31,0.4867760622697848,0.2264031020695712,31,0.2507375117941388,0.17587883483958866,31,0.1741448694900159,0.18273067179358538,31,ok
scene0710_00,original,1536,0,31,31,0.9613351129716442,0.009805325475942397,31,0.9263160251736522,0.012864102800492045,30,0.03616483378808883,0.01302357067101358,30,0.2158217564307492,0.1368653109751878,31,0.36715388462588144,0.20010496399882827,31,0.3231434571870528,0.20070665326852094,31,0.2515915080664619,0.22806227285006925,31,ok
scene0711_00,fixed_mask,256,0,31,20,0.6785596013069153,0.04818468702281725,20,0.5095962736558478,0.08787430569376659,20,0.16896332765106745,0.09570402876826822,20,0.15147740169651788,0.11760005182051626,20,0.25899652083475444,0.20578802631308815,20,0.41267935959389684,0.20918957371607044,20,0.35261441841721536,0.26015063819724105,20,ok
scene0711_00,original,1536,0,31,20,0.9583107054233551,0.014095874625981025,20,0.9316921311396426,0.02487703510371595,20,0.026618574283712594,0.022185877309892122,20,0.10405873424219121,0.08772896059635121,20,0.1863867854392549,0.15464521770245468,20,0.47700812922243657,0.23116740871567787,20,0.42458245530724525,0.28825875078060154,20,ok
